LIKE_CLASSIC,LIKE_LAU,LIKE_SURVIVOR,FAVOURITE_LARA,CLL_OVERSEX,CLL_OSX_FACE,CLL_OSX_BREASTS,CLL_OSX_WAIST,CLL_OSX_HIPS,CLL_OSX_BEHAVIOUR,CLL_OSX_CLOTHES,CLL_OSX_ARTWORK,CLL_OSX_ADS,CLL_OSX_OTHER,CLASSIC_ATTR,LAU_ATTR,SURVIVOR_ATTR,SEX,ORIENTATION,AGE_GROUP
A lot,A little,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
Quite a bit,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Female,Straight,18-24
A lot,Quite a bit,Didn't play,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
Didn't play,Didn't play,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
A lot,A lot,A little,Classic,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,35-44
A lot,Quite a bit,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Somewhat,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,18-24
A lot,Quite a bit,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
Didn't play,A lot,A lot,None,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,18-24
A lot,A lot,Quite a bit,LAU,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Straight,35-44
Didn't play,Quite a bit,A lot,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Bisexual,25-34
A lot,A lot,A little,Classic,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,18-24
Didn't play,A lot,A lot,Survivor,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Straight,18-24
Quite a bit,A lot,A lot,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,A lot,Somewhat,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Asexual,25-34
A lot,A lot,A lot,None,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Bisexual,18-24
A lot,A lot,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,25-34
Didn't play,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Somewhat,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
Somewhat,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Female,Straight,18-24
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
Didn't play,A lot,Somewhat,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,35-44
A lot,Quite a bit,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,25-34
Didn't play,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,45-54
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
A lot,A lot,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
Didn't play,Somewhat,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,A lot,Not at all,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Bisexual,18-24
A lot,Somewhat,A little,Classic,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Straight,35-44
Somewhat,Quite a bit,A lot,Survivor,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Gay/Lesbian,25-34
Quite a bit,Somewhat,A lot,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
Quite a bit,Quite a bit,A lot,Survivor,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female,Bisexual,25-34
A lot,A lot,A lot,None,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,Somewhat,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female,Straight,25-34
A lot,Somewhat,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,25-34
Somewhat,Somewhat,A lot,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Gay/Lesbian,25-34
A lot,A lot,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
A lot,A lot,Quite a bit,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female,Bisexual,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,Somewhat,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intersex,Gay/Lesbian,35-44
Somewhat,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,45-54
A lot,Somewhat,A lot,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Somewhat,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,A lot,Classic,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,25-34
Quite a bit,Quite a bit,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female,Straight,45-54
A lot,A lot,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Bisexual,18-24
A lot,A lot,A little,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Straight,35-44
A lot,Quite a bit,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Asexual,25-34
A lot,A lot,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Male,Gay/Lesbian,18-24
A lot,Somewhat,Didn't play,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,18-24
Somewhat,Quite a bit,A lot,Survivor,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Male,Straight,35-44
Quite a bit,A lot,A lot,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Male,Gay/Lesbian,18-24
A lot,A lot,A lot,None,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,0-17
A lot,A lot,Quite a bit,LAU,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,0-17
A lot,Quite a bit,Somewhat,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Male,Straight,25-34
Somewhat,Quite a bit,A lot,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,18-24
Quite a bit,Somewhat,Quite a bit,Classic,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
Somewhat,Quite a bit,Didn't play,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Straight,25-34
Somewhat,Didn't play,Didn't play,None,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A little,Didn't play,Quite a bit,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Male,Straight,25-34
Didn't play,Didn't play,Quite a bit,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Gay/Lesbian,18-24
Quite a bit,Somewhat,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
Didn't play,Didn't play,Quite a bit,None,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female,Straight,25-34
Didn't play,Didn't play,A little,None,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Straight,25-34
Somewhat,Didn't play,A lot,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,25-34
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,25-34
Didn't play,A little,Somewhat,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
Didn't play,Didn't play,Somewhat,Survivor,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Bisexual,25-34
Somewhat,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Quite a bit,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female,Straight,35-44
Quite a bit,A lot,A little,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Female,Bisexual,25-34
A lot,A lot,Didn't play,Classic,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Female,Straight,55-64
A lot,Quite a bit,A little,Classic,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,18-24
Somewhat,Didn't play,Didn't play,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male,Bisexual,35-44
Somewhat,Somewhat,Somewhat,None,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
A lot,Quite a bit,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Bisexual,18-24
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Somewhat,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,35-44
Didn't play,Somewhat,Quite a bit,Survivor,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Bisexual,25-34
